muni_no,roll_no_txt,municipality,address,units,acres,du_per_acre,built,building_value,type,note
139,176700.000,139 - RM OF LAC DU BONNET,10 HEATHER RD,39,22.31,1.7,2024,2533900,,
139,202100.000,139 - RM OF LAC DU BONNET,46 & 50 Purves RD,3,3.17,0.9,2019,457800,,
437,142150.000,437 - TOWN OF NEEPAWA,NA,60,10.49,5.7,2022,280700,,
437,65100.000,437 - TOWN OF NEEPAWA,307 DAVIDSON ST,48,0.31,154.8,2023,5483900,,
437,67000.000,437 - TOWN OF NEEPAWA,351 MOUNTAIN AVE,36,0.84,42.9,2024,4958900,,
437,1440.000,437 - TOWN OF NEEPAWA,31 - 37 HOWDEN AVE,32,1.78,18,2024,6520200,,
437,1450.000,437 - TOWN OF NEEPAWA,23 HOWDEN AVE,24,1.23,19.5,2022,4259600,,
437,67800.000,437 - TOWN OF NEEPAWA,11 - 298 BRYDON ST,12,0.38,31.6,2027,643700,,
437,123900.000,437 - TOWN OF NEEPAWA,397 FIRST AVE,5,0.3,16.7,2018,739200,,
437,121300.000,437 - TOWN OF NEEPAWA,244 HAMILTON ST,4,0.07,57.1,2019,185600,,
437,133700.000,437 - TOWN OF NEEPAWA,483 SECOND AVE,4,0.23,17.4,2022,659600,,
437,134000.000,437 - TOWN OF NEEPAWA,474 SECOND AVE,4,0.22,18.2,2019,545300,,
437,53000.000,437 - TOWN OF NEEPAWA,270 MAIN ST E,4,0.15,26.7,2024,565900,,
437,64000.000,437 - TOWN OF NEEPAWA,287 HAMILTON ST,3,0.19,15.8,2026,633600,,
433,301810.000,433 - CITY OF MORDEN,985 Wardrop ST,60,1.85,32.4,2024,9427900,,
433,42100.000,433 - CITY OF MORDEN,220 9TH ST S,26,1.45,17.9,2017,857100,,
433,301380.000,433 - CITY OF MORDEN,930 PARKHILL DR,24,0.99,24.2,2016,2652100,,
433,70700.000,433 - CITY OF MORDEN,375 THORNHILL ST,20,0.49,40.8,2021,2735800,,
433,42000.000,433 - CITY OF MORDEN,230 9TH ST S,18,2.07,8.7,2021,2180700,,
433,42300.000,433 - CITY OF MORDEN,126 9TH ST S,16,1.45,11,2017,1661500,,
433,210475.000,433 - CITY OF MORDEN,427 LOREN DR,15,1.34,11.2,2024,3135800,,
433,92650.000,433 - CITY OF MORDEN,215 Stephen ST,14,0.43,32.6,2017,1764900,,
433,350305.000,433 - CITY OF MORDEN,121 HANOVER DR,12,2,6,2025,1980500,,
433,131250.000,433 - CITY OF MORDEN,155 North Railway ST,8,0.2,40,2023,1237800,,
433,340135.000,433 - CITY OF MORDEN,Unit 8 - 111 9th ST S,7,0.07,100,2021,938100,,
433,44800.000,433 - CITY OF MORDEN,185 MOUNTAIN ST S,6,0.27,22.2,2023,295500,,
433,125400.000,433 - CITY OF MORDEN,505 NORTH RAILWAY ST,3,0.14,21.4,2017,318000,,
433,38400.000,433 - CITY OF MORDEN,343 MOUNTAIN ST,3,0.82,3.7,2018,796500,,
433,87100.000,433 - CITY OF MORDEN,65 STEPHEN ST,3,0.33,9.1,2019,549400,,
163,585500.000,163 - RM OF PORTAGE LA PRAIRIE,NA,188,42.3,4.4,2018,5646300,,
163,558120.000,163 - RM OF PORTAGE LA PRAIRIE,36127 ROAD 61 N,7,5,1.4,2016,243700,,
163,755800.000,163 - RM OF PORTAGE LA PRAIRIE,102 2nd ST,4,0.35,11.4,2020,488800,,
163,769200.000,163 - RM OF PORTAGE LA PRAIRIE,405 3RD AVE,4,0.38,10.5,2021,487700,,
163,552400.000,163 - RM OF PORTAGE LA PRAIRIE,60048 - 60052 ROAD 39 W,3,17.86,0.2,2016,215400,,
201,52800.000,201 - RM OF WEST ST. PAUL,3813 MAIN ST,139,9.27,15,2021,23809800,,
201,39700.000,201 - RM OF WEST ST. PAUL,269 BALDERSTONE RD,59,3.96,14.9,2020,13142300,,
129,183200.000,129 - RM OF GIMLI,21 BALL PARK WAY,40,1.38,29,2024,4703700,,
129,371800.000,129 - RM OF GIMLI,86 1ST AVE,40,0.42,95.2,2026,6633100,,
129,150900.000,129 - RM OF GIMLI,199 CENTRE AVE W,30,2.92,10.3,2025,6546800,,
129,30600.000,129 - RM OF GIMLI,103052 PTH 9,26,65.11,0.4,2019,1014200,,
129,188673.000,129 - RM OF GIMLI,228 MUNICIPAL DR,17,0.55,30.9,2023,796800,,
129,304200.000,129 - RM OF GIMLI,31 7TH AVE,10,0.56,17.9,2023,552100,,
129,374700.000,129 - RM OF GIMLI,47 1ST AVE,8,0.19,42.1,2024,2036600,,
129,136300.000,129 - RM OF GIMLI,109129 PTH 9,4,0.32,12.5,2017,360300,,
129,355000.000,129 - RM OF GIMLI,31 - 33 CENTRE ST,3,0.29,10.3,2018,641600,,
129,369000.000,129 - RM OF GIMLI,38 1ST AVE,3,0.19,15.8,2022,442900,,
400,17200.000,400 - TOWN OF ALTONA,140 10th AVE NE,117,4.32,27.1,2016,11141400,,
400,204644.000,400 - TOWN OF ALTONA,103 MILLENNIUM DR NW,18,0.58,31,2025,2309700,,
400,204640.000,400 - TOWN OF ALTONA,NA,16,0.94,17,2025,2315400,,
400,58600.000,400 - TOWN OF ALTONA,240 4TH AVE SE,8,0.39,20.5,2024,1092400,,
400,204641.000,400 - TOWN OF ALTONA,NA,6,0.24,25,2026,890000,,
400,375.000,400 - TOWN OF ALTONA,147 MAIN ST NE,6,0.2,30,2023,855700,,
400,380.000,400 - TOWN OF ALTONA,135 MAIN ST NE,6,0.2,30,2025,1014300,,
400,82000.000,400 - TOWN OF ALTONA,20 1ST ST SE,3,0.36,8.3,2018,216800,,
208,104940.000,208 - RM OF HEADINGLEY,NA,84,5.58,15.1,2019,11145100,row,already labelled
